identifier	search	summed_citations
K2 [Human melanoma]	melanoma	NA
K5	thyroid	NA
KGN	ovarian	NA
KLE	endometrial	NA
KON	oral	NA
MDA-MB-175-VII	ductal not	NA
MES-SA	uterine	NA
Mo	leukemia	NA
MOLP-8	plasma myeloma	NA
MY-M12	leukemia	NA
NY	osteosarcoma	NA
OCUM-1	signet ring gastric	NA
PCI-15A	pyriform fossa	NA
Reh	leukemia	NA
RKN	ovarian	NA
RKO	colon	NA
RL	lymphoma	NA
SAS	tongue	NA
SAT [Human HNSCC]	head neck	NA
SCH	gastric	NA
SiMa	adrenal	NA
SK-MM-2	plasma myeloma	NA
SKN	uterine	NA
T.T	esophageal	NA
TK [Human B-cell lymphoma]	lymphoma	NA
UACC-812	ductal not	NA
UACC-893	ductal not	NA
VAL	lymphoma	NA
YMB-1-E	ductal not	NA
YT	leukemia	NA
ZR-75-30	ductal not	NA
WIL2-NS	lymphoid neoplasm	NA
