identifier	synonyms	search
Kelly	nb19	neuroblastoma
NB69	nb_69	neuroblastoma
SK-N-SH	skn-sh	neuroblastoma
SK-N-SH	sk-nsh	neuroblastoma
SJNB-13	sjnb-13	neuroblastoma
KP-N-RT-BM-1	kp-n-rt-bm-1	neuroblastoma
SJNB-5	sj-nb5	neuroblastoma
MHH-NB-11	mhh-nb11	neuroblastoma
IMR-5	institute for medical research-5	neuroblastoma
NB1	nb 1	neuroblastoma
SJNB-5	sjnb5	neuroblastoma
SK-N-BE(2)-M17	be2m17	neuroblastoma
KP-N-RT-BM-1	kpnrtbm1	neuroblastoma
KP-N-YS	kp-n-ys	neuroblastoma
GI-ME-N	gaslini institute-me-neuroblastoma	neuroblastoma
SJNB-7	sjnb7	neuroblastoma
CHP-126	chp 126	neuroblastoma
SJNB-7	sj-nb-7	neuroblastoma
SJNB-7	ncg	neuroblastoma
CHP-126	chp126	neuroblastoma
CHP-134	chp-134	neuroblastoma
SJNB-7	nb7-dh	neuroblastoma
SK-N-BE(2)-M17	be(2)-m17	neuroblastoma
Hs 683	hs 683	oligodendroglioma
Hs 683	hs 683.t	oligodendroglioma
Hs 683	hs-683	oligodendroglioma
Hs 683	hs683	oligodendroglioma
Hs 683	hs 683t	oligodendroglioma
Hs 683	hs683t	oligodendroglioma
TE 441.T	te-441-t	rhabdomyosarcoma
TE 441.T	te441t	rhabdomyosarcoma
TE 441.T	te 441.t	rhabdomyosarcoma
RPMI-2650	rpmi2650	head and neck
BB30-HNC	bb30hnc	head and neck
LB771-HNC	lb771-hnscc	head and neck
RPMI-2650	roswell park memorial institute 2650	head and neck
LB771-HNC	lb771-orl	head and neck
SAT [Human HNSCC]	sat [human hnscc]	head and neck
BB30-HNC	bb30-scchn	head and neck
SKN-3	skn-3	head and neck
BHY	bhy	head and neck
LB771-HNC	lb771-hnc	head and neck
KOSC-2	kosc-2 cl3-43	head and neck
RPMI-2650	rpmi-2650	head and neck
KOSC-2	kosc2	head and neck
LB771-HNC	lb771hnc	head and neck
SKN-3	skn3	head and neck
BB30-HNC	bb30-hnc	head and neck
KOSC-2	kosc-2	head and neck
BB30-HNC	bb30 hnc	head and neck
RPMI-2650	rpmi 2650	head and neck
SAT [Human HNSCC]	sat	head and neck
KOSC-2	kobe university oral squamous cell culture-2	head and neck
SCC-3	scc-3	lymphoma
MHH-PREB-1	mhhpreb1	lymphoma
SCC-3	scc3	lymphoma
TK [Human B-cell lymphoma]	tk [human b-cell lymphoma]	lymphoma
MC116	mc116	lymphoma
SU-DHL-16	sudhl-16	lymphoma
MHH-PREB-1	mhh-preb-1	lymphoma
SU-DHL-16	stanford university-diffuse histiocytic lymphoma-16	lymphoma
SU-DHL-16	su-dhl-16	lymphoma
MC116	mc 116	lymphoma
SU-DHL-16	sudhl16	lymphoma
MC116	mc-116	lymphoma
SU-DHL-16	dhl-16	lymphoma
TK [Human B-cell lymphoma]	tk	lymphoma
HH [Human lymphoma]	hh [human lymphoma]	lymphoma
G-402	g-402	gastrointestinal
G-402	g402	gastrointestinal
RERF-LC-Sq1	rerflcsq1	lung
NCI-H2066	h2066	lung
NCI-H1703	h-1703	lung
NCI-H1703	nci-h1703	lung
NCI-H1869	ncih1869	lung
EBC-1	ebc1	lung
SW900	sw900	lung
HCC15	hcc-15	lung
LC-1/sq	lc-1/sq	lung
LC-1/sq	lc-1 sq	lung
EBC-1	ebc-1/original	lung
COR-L32	corl32	lung
LK-2	lk-2	lung
NCI-H520	ncih520	lung
LOU-NH91	lou-nh91	lung
NCI-H2066	nci-h2066	lung
LC-1/sq	lc-1sq	lung
LC-1/sq	lc-1-sq	lung
NCI-H520	h-520	lung
LOU-NH91	lounh91	lung
COR-L32	cor l32	lung
SK-MES-1	sk-mes-1	lung
KNS-62	kns-62	lung
SK-MES-1	skmes-1	lung
LC-1/sq	lc1-sq	lung
NCI-H2170	h2170	lung
RERF-LC-Sq1	rerf-lc-sq-1	lung
NCI-H2170	nci-h2170	lung
HARA [Human squamous cell lung carcinoma]	hara [human squamous cell lung carcinoma]	lung
KNS-62	kns62	lung
NCI-H2066	ncih2066	lung
SK-MES-1	sk mes 1	lung
LC-1/sq	lc1sq	lung
LK-2	lk2	lung
LOU-NH91	lou-nh-91	lung
NCI-H1703	h1703	lung
NCI-H2170	ncih2170	lung
LC-1/sq	lc-1	lung
SW900	sw-900	lung
LC-1/sq	lc1	lung
SK-MES-1	skmes	lung
SK-MES-1	skmes1	lung
HCC15	hcc0015	lung
NCI-H520	h520	lung
EBC-1	ebc-1	lung
SW900	sw 900	lung
NCI-H1869	nci-h1869	lung
COR-L32	cor-l32	lung
NCI-H1869	h-1869	lung
LC-1/sq	lung cancer-1/squamous	lung
NCI-H520	nci-h520	lung
NCI-H1703	ncih1703	lung
HCC15	hcc15	lung
SK-MES-1	sk-mes1	lung
HARA [Human squamous cell lung carcinoma]	kcc-c1	lung
NCI-H2066	h-2066	lung
LK-2	lk 2	lung
LC-1/sq	lc1/sq	lung
NCI-H520	nci-hut-520	lung
SK-MES-1	sk-mes	lung
RERF-LC-Sq1	radiation effects research foundation-lung cancer-squamous 1	lung
NCI-H2170	h-2170	lung
RERF-LC-Sq1	rerf-lc-sq1	lung
NCI-H1869	h1869	lung
451Lu	wm451lu	melanoma
SK-MEL-5	sk mel 5	melanoma
SK-MEL-28	skmel28	melanoma
SK-MEL-3	sk-mel-3	melanoma
451Lu	wm451	melanoma
SK-MEL-28	sk mel28	melanoma
IPC-298	ipc 298	melanoma
SK-MEL-5	sk.mel.5	melanoma
SK-MEL-30	skmel-30	melanoma
COLO 800	colo-800	melanoma
SK-MEL-30	sk mel30	melanoma
Hs 940.T	hs 940.t	melanoma
SK-MEL-28	sk-mel-28	melanoma
SK-MEL-28	sk.mel.28	melanoma
SK-MEL-5	skmel5	melanoma
451Lu	wm-451lu	melanoma
451Lu	451lu	melanoma
Hs 940.T	hs-940-t	melanoma
MeWo	mel-mewo	melanoma
COLO 800	colo 800	melanoma
COLO 829	colo 829	melanoma
SK-MEL-5	aa-mel	melanoma
WM1552C	wm1552c	melanoma
MeWo	mewo	melanoma
Mel JuSo	juso	melanoma
SK-MEL-5	sk-mel-5	melanoma
SK-MEL-31	skmel31	melanoma
COLO 679	colo-679	melanoma
COLO 829	colo829	melanoma
SK-MEL-28	skmel-28	melanoma
SK-MEL-3	sk-mel3	melanoma
451Lu	wm 451-lu	melanoma
451Lu	451-lu	melanoma
SK-MEL-28	sk mel 28	melanoma
SK-MEL-28	sk mel-28	melanoma
SK-MEL-3	skmel3	melanoma
SK-MEL-31	ax-mel	melanoma
SK-MEL-30	sk-mel-30	melanoma
COLO 679	colo 679	melanoma
MeWo	me-wo	melanoma
451Lu	wc00059	melanoma
Hs 940.T	hs940	melanoma
SK-MEL-28	skml-28	melanoma
SK-MEL-31	sk-mel-31	melanoma
Hs 940.T	hs940t	melanoma
MeWo	me wo	melanoma
SK-MEL-30	aw-mel	melanoma
SK-MEL-30	sk mel 30	melanoma
SK-MEL-31	skmel-31	melanoma
SK-MEL-28	sk-mel28	melanoma
COLO 829	colo-829	melanoma
Mel JuSo	mel-juso	melanoma
Mel JuSo	mel juso	melanoma
Hs 940.T	hs-940	melanoma
IPC-298	ipc298	melanoma
G-mel	g-mel	melanoma
Hs 940.T	hs940.t	melanoma
MeWo	sk-mel-mewo	melanoma
MeWo	bi-mel	melanoma
Mel JuSo	meljuso	melanoma
WM1552C	wm-1552	melanoma
WM1552C	wm1552	melanoma
IPC-298	ipc-298	melanoma
MeWo	mevo	melanoma
SK-MEL-28	sk-mel 28	melanoma
MeWo	est50	melanoma
WM1552C	wm 1552c	melanoma
WM1552C	est73	melanoma
451Lu	lu451	melanoma
SK-MEL-5	skmel-5	melanoma
SK-MEL-5	sk-mel5	melanoma
COLO 679	colo679	melanoma
Hs 940.T	hs940-t	melanoma
SK-MEL-28	p36	melanoma
451Lu	est81	melanoma
SK-MEL-28	p-36	melanoma
SK-MEL-28	au-mel	melanoma
COLO 800	colo800	melanoma
WM1552C	wm-1552c	melanoma
NCI-H650	h650	lung
NCI-H650	nci-h650	lung
NCI-H1651	h1651	lung
NCI-H1792	h1792	lung
Calu-6	calu 6	lung
NCI-H2291	ncih2291	lung
NCI-H1944	nci-h1944	lung
NCI-H1944	h1944	lung
NCI-H1944	h-1944	lung
NCI-H1435	nci-h1435	lung
NCI-H1435	h1435	lung
NCI-H1435	h-1435	lung
NCI-H1838	nci-h1838	lung
NCI-H2342	h2342	lung
NCI-H2342	h-2342	lung
NCI-H2342	ncih2342	lung
NCI-H1792	h-1792	lung
Calu-3	calu-3	lung
NCI-H1437	h1437	lung
NCI-H1437	h-1437	lung
NCI-H1437	ncih1437	lung
NCI-H522	nci-522	lung
Calu-6	calu-6	lung
NCI-H1993	h1993	lung
VMRC-LCD	vmrclcd	lung
NCI-H1435	ncih1435	lung
NCI-H1563	h1563	lung
RERF-LC-KJ	rerf-lc-kj	lung
RERF-LC-KJ	rerflckj	lung
NCI-H1568	nci-h1568	lung
NCI-H1838	ncih1838	lung
NCI-H2228	nci-h2228	lung
NCI-H1568	ncih1568	lung
NCI-H1573	nci-h1573	lung
NCI-H1573	h1573	lung
NCI-H1573	h-1573	lung
NCI-H1573	ncih1573	lung
NCI-H2030	nci-h2030	lung
NCI-H1993	ncih1993	lung
NCI-H838	h-838	lung
NCI-H838	ncih838	lung
NCI-H1623	nci-h1623	lung
NCI-H1623	h1623	lung
NCI-H2030	ncih2030	lung
HCC78	hcc78	lung
PC-14	pc-14	lung
PC-14	pc14	lung
HCC827	hcc827	lung
HOP-62	hop-62	lung
HOP-62	hop 62	lung
HOP-62	hop62	lung
HOP-62	hopkins-62	lung
NCI-H2085	nci-h2085	lung
NCI-H2347	nci-h2347	lung
NCI-H1437	nci-h1437	lung
RERF-LC-MS	rerf-lc-ms	lung
NCI-H1993	h-1993	lung
NCI-H1623	ncih1623	lung
NCI-H1648	nci-h1648	lung
RERF-LC-KJ	radiation effects research foundation-lung cancer-kj	lung
NCI-H1975	ncih1975	lung
ABC-1	abc-1	lung
NCI-H1563	nci-h1563	lung
201T	201t	lung
NCI-H2405	nci-h2405	lung
NCI-H1693	ncih1693	lung
NCI-H1651	h-1651	lung
RERF-LC-MS	rerflcms	lung
A-549	a 549	lung
A-549	a549	lung
RERF-LC-MS	rerf-lcms	lung
RERF-LC-MS	lc-ms	lung
RERF-LC-MS	lcms	lung
NCI-H1693	h-1693	lung
NCI-H1623	h-1623	lung
NCI-H1755	h1755	lung
LXF 289	lxf 289	lung
NCI-H1648	h1648	lung
LXF 289	lxf-289	lung
EKVX	ekvx	lung
LXF 289	lxf 289l	lung
NCI-H1944	ncih1944	lung
NCI-H23	h-23	lung
NCI-H2122	h-2122	lung
NCI-H2342	nci-h2342	lung
NCI-H2009	nci-h2009	lung
NCI-H1792	nci-h1792	lung
Calu-6	calu6	lung
RERF-LC-KJ	kj	lung
Calu-3	calu 3	lung
Calu-3	calu3	lung
ABC-1	abc1	lung
A-427	a427	lung
NCI-H650	h-650	lung
NCI-H650	ncih650	lung
NCI-H1838	h1838	lung
NCI-H1838	h-1838	lung
A-549	a-549	lung
NCI-H1568	h1568	lung
NCI-H1568	h-1568	lung
A-549	nci-a549	lung
A-549	a549/atcc	lung
A-549	a549 atcc	lung
A-549	a549atcc	lung
RERF-LC-MS	radiation effects research foundation-lung cancer-ms	lung
VMRC-LCD	lcd	lung
VMRC-LCD	virginia mason research center-lung cancer d	lung
NCI-H1651	nci-h1651	lung
NCI-H1734	h-1734	lung
NCI-H1734	ncih1734	lung
NCI-H1755	nci-h1755	lung
NCI-H2291	nci-h2291	lung
NCI-H2291	h-2291	lung
HCC78	hcc-78	lung
HCC78	hcc0078	lung
NCI-H23	nci.h23	lung
NCI-H23	nci h23	lung
NCI-H1648	h-1648	lung
NCI-H1793	ncih1793	lung
COR-L105	cor-l 105	lung
NCI-H3255	h3255	lung
HCC44	hcc-44	lung
COR-L105	corl105	lung
NCI-H1975	h1975	lung
NCI-H2087	h2087	lung
NCI-H2347	h2347	lung
NCI-H1975	nci-h1975	lung
NCI-H522	nci-h522	lung
HCC44	hcc44	lung
NCI-H2087	h-2087	lung
NCI-H2087	ncih208	lung
SK-LU-1	sk-lu-1	lung
NCI-H2009	h-2009	lung
NCI-H1734	h1734	lung
COR-L105	cor-l105	lung
NCI-H2405	ncih2405	lung
NCI-H3255	h3255_da	lung
NCI-H3122	nci-h3122	lung
SK-LU-1	sk-lu1	lung
LXF 289	lxf289	lung
LC-2/ad	lc-2 ad	lung
NCI-H3255	ncih3255	lung
NCI-H3122	h3122	lung
NCI-H3255	nci-h3255	lung
LC-2/ad	lc-2-ad	lung
NCI-H2085	h-2085	lung
NCI-H3255	h-3255	lung
NCI-H2347	ncih2347	lung
NCI-H2087	nci-h2087	lung
LC-2/ad	lc-2/ad	lung
NCI-H2085	ncih2085	lung
NCI-H2009	h2009	lung
SK-LU-1	sk lu 1	lung
HCC44	hcc0044	lung
NCI-H2347	h-2347	lung
HCC827	hcc0827	lung
NCI-H522	ncih522	lung
LC-2/ad	lc2/ad	lung
A-427	a-427	lung
NCI-H1693	nci-h1693	lung
NCI-H1693	h1693	lung
NCI-H2085	h2085	lung
NCI-H1651	ncih1651	lung
NCI-H522	nci.h522	lung
NCI-H522	h522	lung
NCI-H522	h-522	lung
NCI-H1793	h-1793	lung
NCI-H1993	nci-h1993	lung
NCI-H2122	h2122	lung
NCI-H838	h838	lung
NCI-H1355	nci-h1355	lung
NCI-H23	ncih23	lung
SK-LU-1	sklu-1	lung
SK-LU-1	sklu1	lung
NCI-H1563	ncih1563	lung
NCI-H2009	ncih2009	lung
NCI-H2023	nci-h2023	lung
NCI-H2228	h2228	lung
NCI-H2228	h-2228	lung
NCI-H2228	ncih2228	lung
NCI-H2122	nci-h2122	lung
NCI-H2291	h2291	lung
NCI-H1755	h-1755	lung
SK-LU-1	sklu01	lung
HCC827	hcc-827	lung
NCI-H1755	ncih1755	lung
NCI-H23	nci-h23	lung
NCI-H2030	h2030	lung
NCI-H2405	h2405	lung
NCI-H1792	ncih1792	lung
NCI-H1793	nci-h1793	lung
NCI-H1793	h1793	lung
NCI-H1975	h-1975	lung
NCI-H522	nci522	lung
VMRC-LCD	vmrc-lcd	lung
NCI-H1648	ncih1648	lung
NCI-H1355	h1355	lung
NCI-H1355	h-1355	lung
NCI-H1563	h-1563	lung
NCI-H2030	h-2030	lung
NCI-H2405	h-2405	lung
NCI-H2023	h2023	lung
NCI-H2023	h-2023	lung
NCI-H2023	ncih2023	lung
NCI-H3122	h-3122	lung
NCI-H3122	ncih3122	lung
A-549	ha549	lung
NCI-H838	nci-h838	lung
NCI-H23	h23	lung
NCI-H2122	ncih2122	lung
NCI-H1355	ncih1355	lung
NCI-H1734	nci-h1734	lung
HuCC-T1	hucct1	cholangiocarcinoma
HuCC-T1	hucc-t1	cholangiocarcinoma
ETK-1	etk-1	cholangiocarcinoma
HuCC-T1	hucct-1	cholangiocarcinoma
ETK-1	etk1	cholangiocarcinoma
ChaGo-K-1	chagok1	lung
ChaGo-K-1	chago-k1	lung
ChaGo-K-1	chago k-1	lung
ChaGo-K-1	chago-k-1	lung
OCI-Ly19	ocily19	lymphoma
OCI-Ly19	oci ly19	lymphoma
SU-DHL-5	sudhl 5	lymphoma
SU-DHL-4	dhl-4	lymphoma
OCI-Ly7	oci-ly07	lymphoma
Farage	farage	lymphoma
Karpas-422	karpas-422	lymphoma
OCI-Ly19	oci-ly19	lymphoma
SU-DHL-8	dhl8	lymphoma
DoHH2	dohh-2	lymphoma
SU-DHL-4	stanford university-diffuse histiocytic lymphoma-4	lymphoma
OCI-Ly7	oci-ly-7	lymphoma
WSU-DLCL2	wsu-dlcl(2)	lymphoma
WSU-DLCL2	wsu-dlcl-2	lymphoma
Karpas-422	karpas422	lymphoma
OCI-Ly19	ly19	lymphoma
OCI-Ly7	ocily7	lymphoma
SU-DHL-6	su-dhl6	lymphoma
SU-DHL-6	sudhl6	lymphoma
SU-DHL-8	sudhl-8	lymphoma
SU-DHL-6	sudhl-6	lymphoma
WSU-DLCL2	wsu-dlcl2	lymphoma
SU-DHL-8	su-dhl-8	lymphoma
SU-DHL-4	sud4	lymphoma
SU-DHL-8	sudhl8	lymphoma
SU-DHL-6	dhl6	lymphoma
RC-K8	rck8	lymphoma
RC-K8	rck-8	lymphoma
Karpas-422	karpas 422	lymphoma
SU-DHL-4	su4	lymphoma
SU-DHL-4	sud-4	lymphoma
SU-DHL-5	dhl-5	lymphoma
RC-K8	rc-k8	lymphoma
SU-DHL-6	stanford university-diffuse histiocytic lymphoma-6	lymphoma
SU-DHL-4	dhl4	lymphoma
SU-DHL-5	su-dhl-5	lymphoma
SU-DHL-6	sud6	lymphoma
SU-DHL-8	stanford university-diffuse histiocytic lymphoma-8	lymphoma
SU-DHL-4	su-dhl-4	lymphoma
SU-DHL-4	sudhl 4	lymphoma
WSU-NHL	wsu-nhl	lymphoma
HT	ht	lymphoma
DoHH2	dohh2	lymphoma
SU-DHL-6	dhl-6	lymphoma
OCI-Ly19	oci-ly-19	lymphoma
SU-DHL-6	su-dhl-6	lymphoma
SU-DHL-4	sudhl4	lymphoma
OCI-Ly7	oci-ly7	lymphoma
SU-DHL-5	dhl5	lymphoma
WSU-DLCL2	wsudlcl2	lymphoma
Karpas-422	k422	lymphoma
SU-DHL-5	sudhl-5	lymphoma
OCI-Ly7	ly7	lymphoma
WSU-NHL	wsu-nhl-1	lymphoma
WSU-NHL	wsunhl	lymphoma
OCI-Ly7	oci-ly 7	lymphoma
SU-DHL-4	sudhl-4	lymphoma
Farage	farage ol	lymphoma
OCI-Ly19	oci-ly 19	lymphoma
OCI-Ly19	ocily-19	lymphoma
SU-DHL-8	dhl-8	lymphoma
SU-DHL-5	sudhl5	lymphoma
SU-DHL-5	stanford university-diffuse histiocytic lymphoma-5	lymphoma
SU-DHL-5	su-dh-l5	lymphoma
SU-DHL-8	sudhl 8	lymphoma
Farage	farage original line	lymphoma
NU-DUL-1	nu-dul-1	lymphoma
NU-DUL-1	nudul-1	lymphoma
NU-DUL-1	nudul1	lymphoma
UWB1.289	uwb1-289	ovarian
UWB1.289	uwb1289	ovarian
UWB1.289	uwb1.289	ovarian
PEO1	pe01	ovarian
PEO1	peo-1	ovarian
PEO1	peo1	ovarian
PEO1	peo	ovarian
VA-ES-BJ	vaesbj	sarcoma
VA-ES-BJ	va-es-bj	sarcoma
PFSK-1	pfsk-1	neuroectodermal
PFSK-1	pfsk1	neuroectodermal
PFSK-1	pfsk	neuroectodermal
SK-PN-DW	sk-pn-dw	neuroectodermal
SK-PN-DW	skpndw	neuroectodermal
Karpas-299	karpas299	lymphoma
Karpas-299	karpas 299	lymphoma
SU-DHL-1	su-dhl1	lymphoma
Karpas-299	karpas-299	lymphoma
DEL	del	lymphoma
SU-DHL-1	sudhl-1	lymphoma
SR	sr786	lymphoma
SR	sr-786	lymphoma
SU-DHL-1	sudhl1	lymphoma
SUP-M2	supm2	lymphoma
SU-DHL-1	stanford university-diffuse histiocytic lymphoma-1	lymphoma
SU-DHL-1	su-dhl-1	lymphoma
SR	sr	lymphoma
SUP-M2	sup-m2	lymphoma
Karpas-299	k299	lymphoma
SU-DHL-1	sudhl 1	lymphoma
HuH-6 Clone 5	huh6-cl-5	hepatoblastoma
Hep-G2/C3A	hep-g2/c3a	hepatoblastoma
HuH-6 Clone 5	japanese tissue culture-38	hepatoblastoma
HuH-6 Clone 5	huh6 c15	hepatoblastoma
HuH-6 Clone 5	huh6-c15	hepatoblastoma
Hep-G2/C3A	hepg2/c3a	hepatoblastoma
HuH-6 Clone 5	jtc-38	hepatoblastoma
Hep-G2/C3A	c3a	hepatoblastoma
HuH-6 Clone 5	huh-6-clone5	hepatoblastoma
HuH-6 Clone 5	huh6cl5	hepatoblastoma
HuH-6 Clone 5	huh-6 clone-5	hepatoblastoma
HuH-6 Clone 5	huh-6 clone 5	hepatoblastoma
HuH-6 Clone 5	huh-6 cl-5	hepatoblastoma
HuH-6 Clone 5	huh-6-clone 5	hepatoblastoma
Hep-G2/C3A	hep g2/c3a	hepatoblastoma
HuH-6 Clone 5	jtc38	hepatoblastoma
HuH-6 Clone 5	huh6 cl5	hepatoblastoma
HuH-6 Clone 5	huh-6 cl5	hepatoblastoma
HuH-6 Clone 5	huh6-cl5	hepatoblastoma
HuH-6 Clone 5	huh6c15	hepatoblastoma
HuH-6 Clone 5	huh-6-cl5	hepatoblastoma
Rh30	sjrh 30	rhabdomyosarcoma
KYM-1	kym1	rhabdomyosarcoma
Rh30	sj-rh30	rhabdomyosarcoma
Rh30	rms13	rhabdomyosarcoma
Rh30	rc13	rhabdomyosarcoma
Rh30	rms 13	rhabdomyosarcoma
Rh41	rh41	rhabdomyosarcoma
Rh18	rh-18	rhabdomyosarcoma
Rh18	rh18	rhabdomyosarcoma
Rh30	rh-30	rhabdomyosarcoma
Rh30	rh30	rhabdomyosarcoma
Rh41	rh-41	rhabdomyosarcoma
Rh18	sjrh18	rhabdomyosarcoma
Rh18	sjrh-18	rhabdomyosarcoma
KYM-1	kym-1	rhabdomyosarcoma
Rh30	sj-rh 30	rhabdomyosarcoma
Rh30	sjrh30	rhabdomyosarcoma
Rh30	rh30sj	rhabdomyosarcoma
Rh30	sjrh-30	rhabdomyosarcoma
Rh30	sjcrh30	rhabdomyosarcoma
NT2-D1	ntera-2cl.d1	embryonal
NT2-D1	ntera-2/d1	embryonal
NT2-D1	nt2d1	embryonal
NT2-D1	nt2-d1	embryonal
NT2-D1	ntera2 cl.d1	embryonal
NT2-D1	nt2/d1	embryonal
NT2-D1	ntera2d1	embryonal
NT2-D1	ntera-2d1	embryonal
NT2-D1	ntera2/d1	embryonal
NT2-D1	ntera2-d1	embryonal
NT2-D1	ntera-2 cl.d1	embryonal
NT2-D1	ntera2-cloned1	embryonal
NT2-D1	ntera-2 clone d1	embryonal
NT2-D1	ntera 2/cl.d1	embryonal
GI-1	gi-1	gliosarcoma
SF539	sf539	gliosarcoma
SF539	sf-539 bt	gliosarcoma
D-247MG	d247mg	gliosarcoma
SF539	sf 539	gliosarcoma
D-247MG	d-247mg	gliosarcoma
SF539	sf-539	gliosarcoma
D-247MG	d-247 mg	gliosarcoma
D-247MG	d-247-mg	gliosarcoma
C32 [Human melanoma]	c-32	melanoma
C32 [Human melanoma]	c32r	melanoma
C32 [Human melanoma]	c32-mel	melanoma
M14	melanoma 14	melanoma
M14	ucla-so-m14	melanoma
A2058	a 2058	melanoma
C32 [Human melanoma]	c32 mel	melanoma
A-375	a375-mel	melanoma
M14	ucla-so-14	melanoma
A-375	a 375	melanoma
LOX-IMVI	lox imvi	melanoma
LOX-IMVI	lox-imvi	melanoma
M14	m-14	melanoma
A-375	a-375	melanoma
M14	m14	melanoma
M14	ucla so m14	melanoma
A2058	a-2058	melanoma
LOX-IMVI	loxim-vi	melanoma
C32 [Human melanoma]	c32 [human melanoma]	melanoma
LOX-IMVI	lox	melanoma
A2058	a2058	melanoma
A-375	a375	melanoma
LOX-IMVI	loximvi	melanoma
LOX-IMVI	lox/imvi	melanoma
A-375	a375mel	melanoma
M14	m14-mel	melanoma
TGBC24TKB	tgbc-24-tkb	gallbladder
TGBC24TKB	tgbc24tkb	gallbladder
YAPC	yapc	pancreatic
KP-2	kp2	pancreatic
KP-4	kp-4	pancreatic
KP-2	kp-2	pancreatic
KP-4	kp 4	pancreatic
KP-4	kp4	pancreatic
8505C	8505c	thyroid
8305C	8305-c	thyroid
HTC-C3	htc c3	thyroid
BHT-101	bht-101	thyroid
HTC-C3	htc/c3	thyroid
CAL-62	cal-62	thyroid
KMH-2	kmh-2	thyroid
8305C	8305c_1	thyroid
CAL-62	cal 62	thyroid
CAL-62	cal62	thyroid
HTC-C3	htc-c3	thyroid
8305C	8305c	thyroid
ASH-3	ash-3	thyroid
BHT-101	bht101	thyroid
HTC-C3	htcc3	thyroid
CAL-62	centre antoine lacassagne-62	thyroid
ASH-3	ash3	thyroid
Hs 746.T	hs-746t	gastric
AGS	ags	gastric
TMK-1	tmk-1	gastric
NUGC-3	nu-gc-3	gastric
23132/87	st23132	gastric
SNU-5	snu5	gastric
Fu97	fu97	gastric
STS-0421	sts-0421	gastric
IM95	im-95	gastric
RERF-GC-1B	rerf-gc-1b	gastric
SNU-16	snu16	gastric
SNU-1	snu1	gastric
RERF-GC-1B	rerfgc1b	gastric
Hs 746.T	hs 746t	gastric
STS-0421	sts 0421	gastric
MKN45	mkn-45	gastric
TMK-1	tmk1	gastric
SNU-1	snu-1	gastric
23132/87	2313287	gastric
SNU-16	nci-snu-16	gastric
Hs 746.T	hs746t	gastric
23132/87	23132/87	gastric
MKN45	mkn 45	gastric
NUGC-3	nugc3	gastric
MKN45	mkn45	gastric
23132/87	23132-87	gastric
SNU-16	snu-16	gastric
Fu97	fu-97	gastric
STS-0421	sts0421	gastric
Hs 746.T	746t	gastric
Hs 746.T	hs 746.t	gastric
NUGC-3	nugc-3	gastric
GCIY	gciy	gastric
23132/87	st 23132	gastric
SNU-1	nci-snu-1	gastric
IM95	im95	gastric
Hs 746.T	hs746-t	gastric
SNU-5	nci-snu-5	gastric
SNU-5	snu-5	gastric
RERF-GC-1B	radiation effects research foundation-gastric cancer-1b	gastric
23132/87	23132	gastric
ES-2	es-2	ovarian
RMG-I	rmg-1	ovarian
RMG-I	rmg1	ovarian
OVISE	ovise	ovarian
OVTOKO	ovtoko	ovarian
TOV-21G	tov-21g	ovarian
TOV-21G	tov21g	ovarian
TOV-21G	tov21	ovarian
RMG-I	rmg-i	ovarian
ES-2	es2	ovarian
HCC1419	hcc1419	breast
HCC1187	hcc-1187	breast
HCC1395	scc-1395	breast
HCC38	hcc 38	breast
HCC70	hcc 70	breast
HCC70	hcc-70	breast
HCC202	hcc-202	breast
HCC1395	hcc-1395	breast
HCC1569	hcc1569	breast
HCC70	hcc0070	breast
JIMT-1	jimt-1	breast
EFM-19	efm-19	breast
HCC1599	hcc-1599	breast
JIMT-1	jimt1	breast
HCC1954	hcc1954	breast
HCC1954	hcc-1954	breast
HCC1937	hcc1937	breast
HCC1419	hcc-1419	breast
HCC2218	hcc-2218	breast
HCC202	hcc202	breast
HCC38	hcc-38	breast
HCC1599	hcc1599	breast
HCC2157	hcc2157	breast
HCC1937	hcc-1937	breast
HCC202	hcc0202	breast
HCC1500	hcc-1500	breast
HCC1143	hcc1143	breast
JIMT-1	jimt	breast
HCC1569	hcc-1569	breast
HCC38	hcc38	breast
HCC1187	hcc1187	breast
HCC1395	hcc1395	breast
EFM-19	efm19	breast
HCC70	hcc70	breast
HCC38	hcc0038	breast
HCC1143	hcc-1143	breast
HCC1500	hcc1500	breast
HCC2218	hcc2218	breast
KYSE-270	kyse270	esophageal
KYSE-150	kyse 150	esophageal
TE-4	te4	esophageal
KYSE-270	kyse 270	esophageal
TE-12	te-12	esophageal
EC-GI-10	ec-gi	esophageal
KYSE-410	kyse 410	esophageal
KYSE-410	kyse0410	esophageal
TE-4	te-4	esophageal
TE-15	te15	esophageal
TE-12	te12	esophageal
KYSE-140	kyse140	esophageal
EC-GI-10	ecgi10	esophageal
HCE-4	hce4	esophageal
KYSE-150	kyse150	esophageal
KYSE-70	kyse70	esophageal
KYSE-510	kyse 510	esophageal
KYSE-220	kyse-220	esophageal
T.T	tdott	esophageal
TE-10	te-10	esophageal
KYSE-50	kyse 50	esophageal
KYSE-50	kyse-50	esophageal
T.T	t. t	esophageal
KYSE-180	ky180	esophageal
TE-15	te-15	esophageal
HCE-4	hce-4	esophageal
KYSE-180	kyse 180	esophageal
T.T	t-t	esophageal
EC-GI-10	ec-gi-10	esophageal
T.T	t_t_	esophageal
