identifier	synonyms	search	citations	isAuthor	letterCnt	numCnt	totalCnt	filtered_citations	summed_citations
451Lu	wm 451-lu	melanoma	6	FALSE	4	3	7	6	495
451Lu	451-lu	melanoma	79	FALSE	2	3	5	79	495
SK-MEL-28	sk mel 28	melanoma	5790	FALSE	5	2	7	5790	9914
SK-MEL-28	sk mel-28	melanoma	5790	FALSE	5	2	7	5790	9914
SK-MEL-3	skmel3	melanoma	44	FALSE	5	1	6	44	454
SK-MEL-31	ax-mel	melanoma	NA	FALSE	5	0	5	NA	212
SK-MEL-30	sk-mel-30	melanoma	166	FALSE	5	2	7	166	311
COLO 679	colo 679	melanoma	64	FALSE	4	3	7	64	109
MeWo	me-wo	melanoma	70	FALSE	4	0	4	70	2742
451Lu	wc00059	melanoma	1	FALSE	2	5	7	1	495
Hs 940.T	hs940	melanoma	4	FALSE	2	3	5	4	7
SK-MEL-28	skml-28	melanoma	1	FALSE	4	2	6	1	9914
SK-MEL-31	sk-mel-31	melanoma	181	FALSE	5	2	7	181	212
Hs 940.T	hs940t	melanoma	3	FALSE	3	3	6	3	7
MeWo	me wo	melanoma	70	FALSE	4	0	4	70	2742
SK-MEL-30	aw-mel	melanoma	NA	FALSE	5	0	5	NA	311
SK-MEL-30	sk mel 30	melanoma	166	FALSE	5	2	7	166	311
SK-MEL-31	skmel-31	melanoma	16	FALSE	5	2	7	16	212
SK-MEL-28	sk-mel28	melanoma	564	FALSE	5	2	7	564	9914
COLO 829	colo-829	melanoma	175	FALSE	4	3	7	175	374
Mel JuSo	mel-juso	melanoma	387	FALSE	7	0	7	387	1255
Mel JuSo	mel juso	melanoma	387	FALSE	7	0	7	387	1255
Hs 940.T	hs-940	melanoma	3	FALSE	2	3	5	3	7
IPC-298	ipc298	melanoma	49	FALSE	3	3	6	49	102
G-mel	g-mel	melanoma	52	FALSE	4	0	4	52	52
Hs 940.T	hs940.t	melanoma	3	FALSE	3	3	6	3	7
MeWo	sk-mel-mewo	melanoma	1	FALSE	9	0	9	1	2742
MeWo	bi-mel	melanoma	1	FALSE	5	0	5	1	2742
Mel JuSo	meljuso	melanoma	431	FALSE	7	0	7	431	1255
WM1552C	wm-1552	melanoma	9	FALSE	2	4	6	9	232
WM1552C	wm1552	melanoma	48	FALSE	2	4	6	48	232
IPC-298	ipc-298	melanoma	53	FALSE	3	3	6	53	102
MeWo	mevo	melanoma	18	FALSE	4	0	4	18	2742
SK-MEL-28	sk-mel 28	melanoma	5790	FALSE	5	2	7	5790	9914
MeWo	est50	melanoma	1	FALSE	3	2	5	1	2742
WM1552C	wm 1552c	melanoma	17	FALSE	3	4	7	17	232
WM1552C	est73	melanoma	2	FALSE	3	2	5	2	232
451Lu	lu451	melanoma	6	FALSE	2	3	5	6	495
SK-MEL-5	skmel-5	melanoma	121	FALSE	5	1	6	121	2626
SK-MEL-5	sk-mel5	melanoma	152	FALSE	5	1	6	152	2626
COLO 679	colo679	melanoma	45	FALSE	4	3	7	45	109
Hs 940.T	hs940-t	melanoma	3	FALSE	3	3	6	3	7
SK-MEL-28	p36	melanoma	1370	FALSE	1	2	3	1370	9914
451Lu	est81	melanoma	NA	FALSE	3	2	5	NA	495
SK-MEL-28	p-36	melanoma	780	FALSE	1	2	3	780	9914
SK-MEL-28	au-mel	melanoma	2	FALSE	5	0	5	2	9914
COLO 800	colo800	melanoma	20	FALSE	4	3	7	20	54
WM1552C	wm-1552c	melanoma	17	FALSE	3	4	7	17	232
NCI-H650	h650	lung	115	FALSE	1	3	4	115	184
NCI-H650	nci-h650	lung	33	FALSE	4	3	7	33	184
NCI-H1651	h1651	lung	71	FALSE	1	4	5	71	113
NCI-H1792	h1792	lung	513	FALSE	1	4	5	513	623
Calu-6	calu 6	lung	1730	FALSE	4	1	5	1730	2119
NCI-H2291	ncih2291	lung	2	FALSE	4	4	8	2	71
NCI-H1944	nci-h1944	lung	57	FALSE	4	4	8	57	320
NCI-H1944	h1944	lung	243	FALSE	1	4	5	243	320
NCI-H1944	h-1944	lung	14	FALSE	1	4	5	14	320
NCI-H1435	nci-h1435	lung	43	FALSE	4	4	8	43	226
NCI-H1435	h1435	lung	176	FALSE	1	4	5	176	226
NCI-H1435	h-1435	lung	3	FALSE	1	4	5	3	226
NCI-H1838	nci-h1838	lung	40	FALSE	4	4	8	40	229
NCI-H2342	h2342	lung	45	FALSE	1	4	5	45	66
NCI-H2342	h-2342	lung	1	FALSE	1	4	5	1	66
NCI-H2342	ncih2342	lung	3	FALSE	4	4	8	3	66
NCI-H1792	h-1792	lung	7	FALSE	1	4	5	7	623
Calu-3	calu-3	lung	3010	FALSE	4	1	5	3010	3498
NCI-H1437	h1437	lung	588	FALSE	1	4	5	588	794
NCI-H1437	h-1437	lung	11	FALSE	1	4	5	11	794
NCI-H1437	ncih1437	lung	6	FALSE	4	4	8	6	794
NCI-H522	nci-522	lung	24	FALSE	3	3	6	24	4601
Calu-6	calu-6	lung	1730	FALSE	4	1	5	1730	2119
NCI-H1993	h1993	lung	610	FALSE	1	4	5	610	4300
VMRC-LCD	vmrclcd	lung	10	FALSE	7	0	7	10	212
NCI-H1435	ncih1435	lung	4	FALSE	4	4	8	4	226
NCI-H1563	h1563	lung	121	FALSE	1	4	5	121	190
RERF-LC-KJ	rerf-lc-kj	lung	108	FALSE	8	0	8	108	112
RERF-LC-KJ	rerflckj	lung	4	FALSE	8	0	8	4	112
NCI-H1568	nci-h1568	lung	35	FALSE	4	4	8	35	162
NCI-H1838	ncih1838	lung	2	FALSE	4	4	8	2	229
NCI-H2228	nci-h2228	lung	212	FALSE	4	4	8	212	1025
NCI-H1568	ncih1568	lung	6	FALSE	4	4	8	6	162
NCI-H1573	nci-h1573	lung	58	FALSE	4	4	8	58	233
NCI-H1573	h1573	lung	152	FALSE	1	4	5	152	233
NCI-H1573	h-1573	lung	14	FALSE	1	4	5	14	233
NCI-H1573	ncih1573	lung	9	FALSE	4	4	8	9	233
NCI-H2030	nci-h2030	lung	49	FALSE	4	4	8	49	376
NCI-H1993	ncih1993	lung	NA	FALSE	4	4	8	NA	4300
NCI-H838	h-838	lung	16	FALSE	1	3	4	16	919
NCI-H838	ncih838	lung	7	FALSE	4	3	7	7	919
NCI-H1623	nci-h1623	lung	9	FALSE	4	4	8	9	64
NCI-H1623	h1623	lung	35	FALSE	1	4	5	35	64
NCI-H2030	ncih2030	lung	8	FALSE	4	4	8	8	376
HCC78	hcc78	lung	299	FALSE	3	2	5	299	437
PC-14	pc-14	lung	902	FALSE	2	2	4	902	1392
PC-14	pc14	lung	490	FALSE	2	2	4	490	1392
HCC827	hcc827	lung	3070	FALSE	3	3	6	3070	3302
HOP-62	hop-62	lung	1240	FALSE	3	2	5	1240	1538
HOP-62	hop 62	lung	1240	FALSE	3	2	5	1240	1538
HOP-62	hop62	lung	298	FALSE	3	2	5	298	1538
HOP-62	hopkins-62	lung	NA	FALSE	7	2	9	NA	1538
NCI-H2085	nci-h2085	lung	8	FALSE	4	4	8	8	81
NCI-H2347	nci-h2347	lung	69	FALSE	4	4	8	69	287
NCI-H1437	nci-h1437	lung	189	FALSE	4	4	8	189	794
RERF-LC-MS	rerf-lc-ms	lung	197	FALSE	8	0	8	197	237
NCI-H1993	h-1993	lung	3530	FALSE	1	4	5	3530	4300
NCI-H1623	ncih1623	lung	3	FALSE	4	4	8	3	64
NCI-H1648	nci-h1648	lung	49	FALSE	4	4	8	49	273
RERF-LC-KJ	radiation effects research foundation-lung cancer-kj	lung	NA	FALSE	46	0	46	NA	112
NCI-H1975	ncih1975	lung	31	FALSE	4	4	8	31	7180
ABC-1	abc-1	lung	402	FALSE	3	1	4	402	1260
NCI-H1563	nci-h1563	lung	50	FALSE	4	4	8	50	190
201T	201t	lung	117	FALSE	1	3	4	117	117
NCI-H2405	nci-h2405	lung	17	FALSE	4	4	8	17	72
NCI-H1693	ncih1693	lung	5	FALSE	4	4	8	5	116
NCI-H1651	h-1651	lung	18	FALSE	1	4	5	18	113
RERF-LC-MS	rerflcms	lung	6	FALSE	8	0	8	6	237
A-549	a 549	lung	7330	FALSE	1	3	4	7330	81346
A-549	a549	lung	71600	FALSE	1	3	4	71600	81346
RERF-LC-MS	rerf-lcms	lung	34	FALSE	8	0	8	34	237
RERF-LC-MS	lc-ms	lung	18300	FALSE	4	0	4	NA	237
RERF-LC-MS	lcms	lung	2440	FALSE	4	0	4	NA	237
NCI-H1693	h-1693	lung	29	FALSE	1	4	5	29	116
NCI-H1623	h-1623	lung	17	FALSE	1	4	5	17	64
NCI-H1755	h1755	lung	114	FALSE	1	4	5	114	163
LXF 289	lxf 289	lung	57	FALSE	3	3	6	57	86
NCI-H1648	h1648	lung	210	FALSE	1	4	5	210	273
LXF 289	lxf-289	lung	57	FALSE	3	3	6	57	86
EKVX	ekvx	lung	1170	FALSE	4	0	4	1170	1170
LXF 289	lxf 289l	lung	6	FALSE	4	3	7	6	86
NCI-H1944	ncih1944	lung	6	FALSE	4	4	8	6	320
NCI-H23	h-23	lung	3900	FALSE	1	2	3	3900	10948
NCI-H2122	h-2122	lung	10	FALSE	1	4	5	10	726
NCI-H2342	nci-h2342	lung	17	FALSE	4	4	8	17	66
NCI-H2009	nci-h2009	lung	173	FALSE	4	4	8	173	5833
NCI-H1792	nci-h1792	lung	103	FALSE	4	4	8	103	623
Calu-6	calu6	lung	389	FALSE	4	1	5	389	2119
RERF-LC-KJ	kj	lung	NA	FALSE	2	0	2	NA	112
Calu-3	calu 3	lung	3010	FALSE	4	1	5	3010	3498
Calu-3	calu3	lung	488	FALSE	4	1	5	488	3498
ABC-1	abc1	lung	858	FALSE	3	1	4	858	1260
A-427	a427	lung	917	FALSE	1	3	4	917	1502
NCI-H650	h-650	lung	29	FALSE	1	3	4	29	184
NCI-H650	ncih650	lung	7	FALSE	4	3	7	7	184
NCI-H1838	h1838	lung	182	FALSE	1	4	5	182	229
NCI-H1838	h-1838	lung	5	FALSE	1	4	5	5	229
A-549	a-549	lung	7330	FALSE	1	3	4	7330	81346
NCI-H1568	h1568	lung	118	FALSE	1	4	5	118	162
NCI-H1568	h-1568	lung	3	FALSE	1	4	5	3	162
A-549	nci-a549	lung	100	FALSE	4	3	7	100	81346
A-549	a549/atcc	lung	2300	FALSE	5	3	8	2300	81346
A-549	a549 atcc	lung	2300	FALSE	5	3	8	2300	81346
A-549	a549atcc	lung	4	FALSE	5	3	8	4	81346
RERF-LC-MS	radiation effects research foundation-lung cancer-ms	lung	NA	FALSE	46	0	46	NA	237
VMRC-LCD	lcd	lung	873	FALSE	3	0	3	NA	212
VMRC-LCD	virginia mason research center-lung cancer d	lung	NA	FALSE	38	0	38	NA	212
NCI-H1651	nci-h1651	lung	17	FALSE	4	4	8	17	113
NCI-H1734	h-1734	lung	12	FALSE	1	4	5	12	173
NCI-H1734	ncih1734	lung	4	FALSE	4	4	8	4	173
NCI-H1755	nci-h1755	lung	33	FALSE	4	4	8	33	163
NCI-H2291	nci-h2291	lung	14	FALSE	4	4	8	14	71
NCI-H2291	h-2291	lung	3	FALSE	1	4	5	3	71
HCC78	hcc-78	lung	138	FALSE	3	2	5	138	437
HCC78	hcc0078	lung	NA	FALSE	3	4	7	NA	437
NCI-H23	nci.h23	lung	2520	FALSE	4	2	6	2520	10948
NCI-H23	nci h23	lung	2520	FALSE	4	2	6	2520	10948
NCI-H1648	h-1648	lung	10	FALSE	1	4	5	10	273
NCI-H1793	ncih1793	lung	7	FALSE	4	4	8	7	709
COR-L105	cor-l 105	lung	10	FALSE	4	3	7	10	56
NCI-H3255	h3255	lung	929	FALSE	1	4	5	929	1042
HCC44	hcc-44	lung	227	FALSE	3	2	5	227	388
COR-L105	corl105	lung	6	FALSE	4	3	7	6	56
NCI-H1975	h1975	lung	4980	FALSE	1	4	5	4980	7180
NCI-H2087	h2087	lung	382	FALSE	1	4	5	382	549
NCI-H2347	h2347	lung	211	FALSE	1	4	5	211	287
NCI-H1975	nci-h1975	lung	1230	FALSE	4	4	8	1230	7180
NCI-H522	nci-h522	lung	1790	FALSE	4	3	7	1790	4601
HCC44	hcc44	lung	161	FALSE	3	2	5	161	388
NCI-H2087	h-2087	lung	6	FALSE	1	4	5	6	549
NCI-H2087	ncih208	lung	NA	FALSE	4	3	7	NA	549
SK-LU-1	sk-lu-1	lung	606	FALSE	4	1	5	606	1004
NCI-H2009	h-2009	lung	4870	FALSE	1	4	5	4870	5833
NCI-H1734	h1734	lung	121	FALSE	1	4	5	121	173
COR-L105	cor-l105	lung	40	FALSE	4	3	7	40	56
NCI-H2405	ncih2405	lung	4	FALSE	4	4	8	4	72
NCI-H3255	h3255_da	lung	NA	FALSE	3	4	7	NA	1042
NCI-H3122	nci-h3122	lung	109	FALSE	4	4	8	109	695
SK-LU-1	sk-lu1	lung	84	FALSE	4	1	5	84	1004
LXF 289	lxf289	lung	23	FALSE	3	3	6	23	86
LC-2/ad	lc-2 ad	lung	186	FALSE	4	1	5	186	288
NCI-H3255	ncih3255	lung	6	FALSE	4	4	8	6	1042
NCI-H3122	h3122	lung	577	FALSE	1	4	5	577	695
NCI-H3255	nci-h3255	lung	100	FALSE	4	4	8	100	1042
LC-2/ad	lc-2-ad	lung	186	FALSE	4	1	5	186	288
NCI-H2085	h-2085	lung	2	FALSE	1	4	5	2	81
NCI-H3255	h-3255	lung	7	FALSE	1	4	5	7	1042
NCI-H2347	ncih2347	lung	2	FALSE	4	4	8	2	287
NCI-H2087	nci-h2087	lung	161	FALSE	4	4	8	161	549
LC-2/ad	lc-2/ad	lung	186	FALSE	4	1	5	186	288
NCI-H2085	ncih2085	lung	3	FALSE	4	4	8	3	81
NCI-H2009	h2009	lung	782	FALSE	1	4	5	782	5833
SK-LU-1	sk lu 1	lung	606	FALSE	4	1	5	606	1004
HCC44	hcc0044	lung	NA	FALSE	3	4	7	NA	388
NCI-H2347	h-2347	lung	5	FALSE	1	4	5	5	287
HCC827	hcc0827	lung	1	FALSE	3	4	7	1	3302
NCI-H522	ncih522	lung	29	FALSE	4	3	7	29	4601
LC-2/ad	lc2/ad	lung	102	FALSE	4	1	5	102	288
A-427	a-427	lung	585	FALSE	1	3	4	585	1502
NCI-H1693	nci-h1693	lung	15	FALSE	4	4	8	15	116
NCI-H1693	h1693	lung	67	FALSE	1	4	5	67	116
NCI-H2085	h2085	lung	68	FALSE	1	4	5	68	81
NCI-H1651	ncih1651	lung	7	FALSE	4	4	8	7	113
NCI-H522	nci.h522	lung	1790	FALSE	4	3	7	1790	4601
NCI-H522	h522	lung	2670	FALSE	1	3	4	2670	4601
NCI-H522	h-522	lung	85	FALSE	1	3	4	85	4601
NCI-H1793	h-1793	lung	5	FALSE	1	4	5	5	709
NCI-H1993	nci-h1993	lung	160	FALSE	4	4	8	160	4300
NCI-H2122	h2122	lung	553	FALSE	1	4	5	553	726
NCI-H838	h838	lung	664	FALSE	1	3	4	664	919
NCI-H1355	nci-h1355	lung	54	FALSE	4	4	8	54	928
NCI-H23	ncih23	lung	48	FALSE	4	2	6	48	10948
SK-LU-1	sklu-1	lung	209	FALSE	4	1	5	209	1004
SK-LU-1	sklu1	lung	105	FALSE	4	1	5	105	1004
NCI-H1563	ncih1563	lung	9	FALSE	4	4	8	9	190
NCI-H2009	ncih2009	lung	8	FALSE	4	4	8	8	5833
NCI-H2023	nci-h2023	lung	12	FALSE	4	4	8	12	152
NCI-H2228	h2228	lung	796	FALSE	1	4	5	796	1025
NCI-H2228	h-2228	lung	8	FALSE	1	4	5	8	1025
NCI-H2228	ncih2228	lung	9	FALSE	4	4	8	9	1025
NCI-H2122	nci-h2122	lung	146	FALSE	4	4	8	146	726
NCI-H2291	h2291	lung	52	FALSE	1	4	5	52	71
NCI-H1755	h-1755	lung	9	FALSE	1	4	5	9	163
SK-LU-1	sklu01	lung	NA	FALSE	4	2	6	NA	1004
HCC827	hcc-827	lung	231	FALSE	3	3	6	231	3302
NCI-H1755	ncih1755	lung	7	FALSE	4	4	8	7	163
NCI-H23	nci-h23	lung	2520	FALSE	4	2	6	2520	10948
NCI-H2030	h2030	lung	319	FALSE	1	4	5	319	376
NCI-H2405	h2405	lung	51	FALSE	1	4	5	51	72
NCI-H1792	ncih1792	lung	7	FALSE	4	4	8	7	623
NCI-H1793	nci-h1793	lung	53	FALSE	4	4	8	53	709
NCI-H1793	h1793	lung	644	FALSE	1	4	5	644	709
NCI-H1975	h-1975	lung	939	FALSE	1	4	5	939	7180
NCI-H522	nci522	lung	3	FALSE	3	3	6	3	4601
VMRC-LCD	vmrc-lcd	lung	202	FALSE	7	0	7	202	212
NCI-H1648	ncih1648	lung	4	FALSE	4	4	8	4	273
NCI-H1355	h1355	lung	855	FALSE	1	4	5	855	928
NCI-H1355	h-1355	lung	14	FALSE	1	4	5	14	928
NCI-H1563	h-1563	lung	10	FALSE	1	4	5	10	190
NCI-H2030	h-2030	lung	8	FALSE	1	4	5	8	376
NCI-H2405	h-2405	lung	NA	FALSE	1	4	5	NA	72
NCI-H2023	h2023	lung	132	FALSE	1	4	5	132	152
NCI-H2023	h-2023	lung	NA	FALSE	1	4	5	NA	152
NCI-H2023	ncih2023	lung	8	FALSE	4	4	8	8	152
NCI-H3122	h-3122	lung	2	FALSE	1	4	5	2	695
NCI-H3122	ncih3122	lung	7	FALSE	4	4	8	7	695
A-549	ha549	lung	12	FALSE	2	3	5	12	81346
NCI-H838	nci-h838	lung	232	FALSE	4	3	7	232	919
NCI-H23	h23	lung	4480	FALSE	1	2	3	4480	10948
NCI-H2122	ncih2122	lung	17	FALSE	4	4	8	17	726
NCI-H1355	ncih1355	lung	5	FALSE	4	4	8	5	928
NCI-H1734	nci-h1734	lung	36	FALSE	4	4	8	36	173
HuCC-T1	hucct1	cholangiocarcinoma	594	FALSE	5	1	6	594	1333
HuCC-T1	hucc-t1	cholangiocarcinoma	467	FALSE	5	1	6	467	1333
ETK-1	etk-1	cholangiocarcinoma	20	FALSE	3	1	4	20	26
HuCC-T1	hucct-1	cholangiocarcinoma	272	FALSE	5	1	6	272	1333
ETK-1	etk1	cholangiocarcinoma	6	FALSE	3	1	4	6	26
ChaGo-K-1	chagok1	lung	15	FALSE	6	1	7	15	111
ChaGo-K-1	chago-k1	lung	32	FALSE	6	1	7	32	111
ChaGo-K-1	chago k-1	lung	64	FALSE	6	1	7	64	111
ChaGo-K-1	chago-k-1	lung	64	FALSE	6	1	7	64	111
OCI-Ly19	ocily19	lymphoma	24	FALSE	5	2	7	24	663
OCI-Ly19	oci ly19	lymphoma	272	FALSE	5	2	7	272	663
SU-DHL-5	sudhl 5	lymphoma	37	FALSE	5	1	6	37	387
SU-DHL-4	dhl-4	lymphoma	893	FALSE	3	1	4	893	2719
OCI-Ly7	oci-ly07	lymphoma	NA	FALSE	5	2	7	NA	782
Farage	farage	lymphoma	207	FALSE	6	0	6	207	209
Karpas-422	karpas-422	lymphoma	478	FALSE	6	3	9	478	693
OCI-Ly19	oci-ly19	lymphoma	272	FALSE	5	2	7	272	663
SU-DHL-8	dhl8	lymphoma	39	FALSE	3	1	4	39	391
DoHH2	dohh-2	lymphoma	277	FALSE	4	1	5	277	863
SU-DHL-4	stanford university-diffuse histiocytic lymphoma-4	lymphoma	1	FALSE	44	1	45	1	2719
OCI-Ly7	oci-ly-7	lymphoma	33	FALSE	5	1	6	33	782
WSU-DLCL2	wsu-dlcl(2)	lymphoma	59	FALSE	7	1	8	59	314
WSU-DLCL2	wsu-dlcl-2	lymphoma	59	FALSE	7	1	8	59	314
Karpas-422	karpas422	lymphoma	119	FALSE	6	3	9	119	693
OCI-Ly19	ly19	lymphoma	295	FALSE	2	2	4	295	663
OCI-Ly7	ocily7	lymphoma	11	FALSE	5	1	6	11	782
SU-DHL-6	su-dhl6	lymphoma	121	FALSE	5	1	6	121	1629
SU-DHL-6	sudhl6	lymphoma	251	FALSE	5	1	6	251	1629
SU-DHL-8	sudhl-8	lymphoma	35	FALSE	5	1	6	35	391
SU-DHL-6	sudhl-6	lymphoma	220	FALSE	5	1	6	220	1629
WSU-DLCL2	wsu-dlcl2	lymphoma	249	FALSE	7	1	8	249	314
SU-DHL-8	su-dhl-8	lymphoma	134	FALSE	5	1	6	134	391
SU-DHL-4	sud4	lymphoma	10	FALSE	3	1	4	10	2719
SU-DHL-8	sudhl8	lymphoma	40	FALSE	5	1	6	40	391
SU-DHL-6	dhl6	lymphoma	180	FALSE	3	1	4	180	1629
RC-K8	rck8	lymphoma	55	FALSE	3	1	4	55	381
RC-K8	rck-8	lymphoma	24	FALSE	3	1	4	24	381
Karpas-422	karpas 422	lymphoma	478	FALSE	6	3	9	478	693
SU-DHL-4	su4	lymphoma	23	FALSE	2	1	3	23	2719
SU-DHL-4	sud-4	lymphoma	11	FALSE	3	1	4	11	2719
SU-DHL-5	dhl-5	lymphoma	134	FALSE	3	1	4	134	387
RC-K8	rc-k8	lymphoma	302	FALSE	3	1	4	302	381
SU-DHL-6	stanford university-diffuse histiocytic lymphoma-6	lymphoma	1	FALSE	44	1	45	1	1629
SU-DHL-4	dhl4	lymphoma	312	FALSE	3	1	4	312	2719
SU-DHL-5	su-dhl-5	lymphoma	126	FALSE	5	1	6	126	387
SU-DHL-6	sud6	lymphoma	2	FALSE	3	1	4	2	1629
SU-DHL-8	stanford university-diffuse histiocytic lymphoma-8	lymphoma	NA	FALSE	44	1	45	NA	391
SU-DHL-4	su-dhl-4	lymphoma	687	FALSE	5	1	6	687	2719
SU-DHL-4	sudhl 4	lymphoma	376	FALSE	5	1	6	376	2719
WSU-NHL	wsu-nhl	lymphoma	176	FALSE	6	0	6	176	178
HT	ht	lymphoma	NA	FALSE	2	0	2	NA	NA
DoHH2	dohh2	lymphoma	586	FALSE	4	1	5	586	863
SU-DHL-6	dhl-6	lymphoma	456	FALSE	3	1	4	456	1629
OCI-Ly19	oci-ly-19	lymphoma	65	FALSE	5	2	7	65	663
SU-DHL-6	su-dhl-6	lymphoma	398	FALSE	5	1	6	398	1629
SU-DHL-4	sudhl4	lymphoma	406	FALSE	5	1	6	406	2719
OCI-Ly7	oci-ly7	lymphoma	312	FALSE	5	1	6	312	782
SU-DHL-5	dhl5	lymphoma	26	FALSE	3	1	4	26	387
WSU-DLCL2	wsudlcl2	lymphoma	6	FALSE	7	1	8	6	314
Karpas-422	k422	lymphoma	96	FALSE	1	3	4	96	693
SU-DHL-5	sudhl-5	lymphoma	37	FALSE	5	1	6	37	387
OCI-Ly7	ly7	lymphoma	426	FALSE	2	1	3	426	782
WSU-NHL	wsu-nhl-1	lymphoma	2	FALSE	6	1	7	2	178
WSU-NHL	wsunhl	lymphoma	2	FALSE	6	0	6	2	178
OCI-Ly7	oci-ly 7	lymphoma	33	FALSE	5	1	6	33	782
SU-DHL-4	sudhl-4	lymphoma	376	FALSE	5	1	6	376	2719
Farage	farage ol	lymphoma	2	FALSE	8	0	8	2	209
OCI-Ly19	oci-ly 19	lymphoma	65	FALSE	5	2	7	65	663
OCI-Ly19	ocily-19	lymphoma	7	FALSE	5	2	7	7	663
SU-DHL-8	dhl-8	lymphoma	143	FALSE	3	1	4	143	391
SU-DHL-5	sudhl5	lymphoma	64	FALSE	5	1	6	64	387
SU-DHL-5	stanford university-diffuse histiocytic lymphoma-5	lymphoma	NA	FALSE	44	1	45	NA	387
SU-DHL-5	su-dh-l5	lymphoma	NA	FALSE	5	1	6	NA	387
SU-DHL-8	sudhl 8	lymphoma	35	FALSE	5	1	6	35	391
Farage	farage original line	lymphoma	2	FALSE	18	0	18	2	209
NU-DUL-1	nu-dul-1	lymphoma	58	FALSE	5	1	6	58	78
NU-DUL-1	nudul-1	lymphoma	12	FALSE	5	1	6	12	78
NU-DUL-1	nudul1	lymphoma	8	FALSE	5	1	6	8	78
UWB1.289	uwb1-289	ovarian	217	FALSE	3	4	7	217	220
UWB1.289	uwb1289	ovarian	3	FALSE	3	4	7	3	220
UWB1.289	uwb1.289	ovarian	217	FALSE	3	4	7	217	220
PEO1	pe01	ovarian	122	FALSE	2	2	4	122	723
PEO1	peo-1	ovarian	84	FALSE	3	1	4	84	723
PEO1	peo1	ovarian	517	FALSE	3	1	4	517	723
PEO1	peo	ovarian	2200	FALSE	3	0	3	NA	723
VA-ES-BJ	vaesbj	sarcoma	38	FALSE	6	0	6	38	57
VA-ES-BJ	va-es-bj	sarcoma	19	FALSE	6	0	6	19	57
PFSK-1	pfsk-1	neuroectodermal	87	FALSE	4	1	5	87	246
PFSK-1	pfsk1	neuroectodermal	13	FALSE	4	1	5	13	246
PFSK-1	pfsk	neuroectodermal	146	FALSE	4	0	4	146	246
SK-PN-DW	sk-pn-dw	neuroectodermal	65	FALSE	6	0	6	65	67
SK-PN-DW	skpndw	neuroectodermal	2	FALSE	6	0	6	2	67
Karpas-299	karpas299	lymphoma	240	FALSE	6	3	9	240	1601
Karpas-299	karpas 299	lymphoma	1270	FALSE	6	3	9	1270	1601
SU-DHL-1	su-dhl1	lymphoma	106	FALSE	5	1	6	106	961
Karpas-299	karpas-299	lymphoma	1270	FALSE	6	3	9	1270	1601
DEL	del	lymphoma	55700	FALSE	3	0	3	NA	NA
SU-DHL-1	sudhl-1	lymphoma	253	FALSE	5	1	6	253	961
SR	sr786	lymphoma	83	FALSE	2	3	5	83	248
SR	sr-786	lymphoma	165	FALSE	2	3	5	165	248
SU-DHL-1	sudhl1	lymphoma	79	FALSE	5	1	6	79	961
SUP-M2	supm2	lymphoma	60	FALSE	4	1	5	60	311
SU-DHL-1	stanford university-diffuse histiocytic lymphoma-1	lymphoma	NA	FALSE	44	1	45	NA	961
SU-DHL-1	su-dhl-1	lymphoma	523	FALSE	5	1	6	523	961
SR	sr	lymphoma	NA	FALSE	2	0	2	NA	248
SUP-M2	sup-m2	lymphoma	251	FALSE	4	1	5	251	311
Karpas-299	k299	lymphoma	91	FALSE	1	3	4	91	1601
SU-DHL-1	sudhl 1	lymphoma	253	FALSE	5	1	6	253	961
HuH-6 Clone 5	huh6-cl-5	hepatoblastoma	NA	FALSE	5	2	7	NA	89
Hep-G2/C3A	hep-g2/c3a	hepatoblastoma	2	FALSE	6	2	8	2	382
HuH-6 Clone 5	japanese tissue culture-38	hepatoblastoma	NA	FALSE	21	2	23	NA	89
HuH-6 Clone 5	huh6 c15	hepatoblastoma	6	FALSE	4	3	7	6	89
HuH-6 Clone 5	huh6-c15	hepatoblastoma	6	FALSE	4	3	7	6	89
Hep-G2/C3A	hepg2/c3a	hepatoblastoma	94	FALSE	6	2	8	94	382
HuH-6 Clone 5	jtc-38	hepatoblastoma	NA	FALSE	3	2	5	NA	89
Hep-G2/C3A	c3a	hepatoblastoma	286	FALSE	2	1	3	286	382
HuH-6 Clone 5	huh-6-clone5	hepatoblastoma	2	FALSE	8	2	10	2	89
HuH-6 Clone 5	huh6cl5	hepatoblastoma	NA	FALSE	5	2	7	NA	89
HuH-6 Clone 5	huh-6 clone-5	hepatoblastoma	69	FALSE	8	2	10	69	89
HuH-6 Clone 5	huh-6 clone 5	hepatoblastoma	69	FALSE	8	2	10	69	89
HuH-6 Clone 5	huh-6 cl-5	hepatoblastoma	8	FALSE	5	2	7	8	89
HuH-6 Clone 5	huh-6-clone 5	hepatoblastoma	69	FALSE	8	2	10	69	89
Hep-G2/C3A	hep g2/c3a	hepatoblastoma	2	FALSE	6	2	8	2	382
HuH-6 Clone 5	jtc38	hepatoblastoma	NA	FALSE	3	2	5	NA	89
HuH-6 Clone 5	huh6 cl5	hepatoblastoma	3	FALSE	5	2	7	3	89
HuH-6 Clone 5	huh-6 cl5	hepatoblastoma	1	FALSE	5	2	7	1	89
HuH-6 Clone 5	huh6-cl5	hepatoblastoma	3	FALSE	5	2	7	3	89
HuH-6 Clone 5	huh6c15	hepatoblastoma	NA	FALSE	4	3	7	NA	89
